Selection,Treatment,Block,Period,Percentage egg viability
FCB,Both shocked,1,0,0.904977376
FCB,Both shocked,1,0,0.884955752
FCB,Both shocked,1,0,0.881057269
FCB,Both shocked,2,0,1.672240803
FCB,Both shocked,2,0,2.361579
FCB,Both shocked,2,0,1.834862385
FCB,Both shocked,3,0,0.505050505
FCB,Both shocked,3,0,0.930232558
FCB,Both shocked,4,0,1.530612245
FCB,Both shocked,4,0,2.883495146
FCB,Both shocked,4,0,3.325692533
FCB,Both shocked,5,0,6.666666667
FCB,Both shocked,5,0,1.435406699
FCB,Both shocked,5,0,3.883495146
FCB,Female shocked,1,0,3.225806452
FCB,Female shocked,1,0,4.736842105
FCB,Female shocked,1,0,1.886792453
FCB,Female shocked,2,0,3.755868545
FCB,Female shocked,2,0,2.976190476
FCB,Female shocked,2,0,0.8064452
FCB,Female shocked,3,0,0.4784689
FCB,Female shocked,3,0,1.530612245
FCB,Female shocked,4,0,2.982586952
FCB,Female shocked,4,0,1.722541143
FCB,Female shocked,4,0,1.322938389
FCB,Female shocked,5,0,9.251101322
FCB,Female shocked,5,0,9.146341463
FCB,Female shocked,5,0,7.8
FCB,Neither shocked,1,0,85.71428571
FCB,Neither shocked,1,0,84.7826087
FCB,Neither shocked,1,0,91.24087591
FCB,Neither shocked,2,0,91.70305677
FCB,Neither shocked,2,0,95.8677686
FCB,Neither shocked,2,0,97.1831
FCB,Neither shocked,3,0,95
FCB,Neither shocked,3,0,96.72131148
FCB,Neither shocked,4,0,96.24413146
FCB,Neither shocked,4,0,97.56097561
FCB,Neither shocked,4,0,94.76439791
FCB,Neither shocked,5,0,85
FCB,Neither shocked,5,0,86.66666667
FCB,Neither shocked,5,0,86.36363636
FSB,Both shocked,1,0,3.215434084
FSB,Both shocked,1,0,0.37593985
FSB,Both shocked,1,0,0.647249191
FSB,Both shocked,2,0,0.444444444
FSB,Both shocked,2,0,0.4
FSB,Both shocked,2,0,2.336448598
FSB,Both shocked,3,0,1.428571429
FSB,Both shocked,3,0,0.469483568
FSB,Both shocked,4,0,2.517402597
FSB,Both shocked,4,0,3.285858586
FSB,Both shocked,4,0,1.860465116
FSB,Both shocked,5,0,2.597402597
FSB,Both shocked,5,0,8.585858586
FSB,Both shocked,5,0,1.860465116
FSB,Female shocked,1,0,4.651162791
FSB,Female shocked,1,0,0.73800738
FSB,Female shocked,1,0,2.713178295
FSB,Female shocked,2,0,1.162790698
FSB,Female shocked,2,0,1.395349
FSB,Female shocked,2,0,3.202847
FSB,Female shocked,3,0,0.473933649
FSB,Female shocked,3,0,4.761904762
FSB,Female shocked,4,0,1.408450704
FSB,Female shocked,4,0,1.325406699
FSB,Female shocked,4,0,2.912380952
FSB,Female shocked,5,0,0.952380952
