species,vial,temp,viaiblity
D.ananassae,1,28,16
D.ananassae,2,28,18
D.ananassae,3,28,8
D.ananassae,4,28,15
D.ananassae,5,28,9
D.ananassae,6,28,17
D.ananassae,7,28,15
D.ananassae,8,28,10
D.ananassae,9,28,15
D.ananassae,10,28,12
D.ananassae,11,28,18
D.ananassae,12,28,14
D.ananassae,13,28,15
D.ananassae,14,28,13
D.ananassae,15,28,16
D.ananassae,16,28,16
D.ananassae,17,28,11
D.ananassae,18,28,16
D.ananassae,19,28,16
D.ananassae,20,28,15
D.ananassae,1,26,16
D.ananassae,2,26,18
D.ananassae,3,26,14
D.ananassae,4,26,16
D.ananassae,5,26,14
D.ananassae,6,26,15
D.ananassae,7,26,14
D.ananassae,8,26,7
D.ananassae,9,26,14
D.ananassae,10,26,14
D.ananassae,11,26,11
D.ananassae,12,26,17
D.ananassae,13,26,11
D.ananassae,14,26,19
D.ananassae,15,26,18
D.ananassae,16,26,14
D.ananassae,17,26,14
D.ananassae,18,26,17
D.ananassae,19,26,16
D.ananassae,20,26,15
D.ananassae,1,23,15
D.ananassae,2,23,14
D.ananassae,3,23,12
D.ananassae,4,23,14
D.ananassae,5,23,12
D.ananassae,6,23,15
D.ananassae,7,23,16
D.ananassae,8,23,13
D.ananassae,9,23,15
D.ananassae,10,23,15
D.ananassae,11,23,12
D.ananassae,12,23,16
D.ananassae,13,23,16
D.ananassae,14,23,12
D.ananassae,15,23,17
D.ananassae,16,23,13
D.ananassae,17,23,15
D.ananassae,18,23,13
D.ananassae,19,23,11
D.ananassae,20,23,13
D.ananassae,1,20,16
D.ananassae,2,20,10
D.ananassae,3,20,15
D.ananassae,4,20,13
D.ananassae,5,20,10
D.ananassae,6,20,18
D.ananassae,7,20,13
D.ananassae,8,20,20
D.ananassae,9,20,20
D.ananassae,10,20,14
D.ananassae,11,20,12
D.ananassae,12,20,12
D.ananassae,13,20,9
D.ananassae,14,20,17
D.ananassae,15,20,13
D.ananassae,16,20,9
D.ananassae,17,20,12
D.ananassae,18,20,13
D.ananassae,19,20,15
D.ananassae,20,20,15
D.birchii,1,28,0
D.birchii,2,28,2
D.birchii,3,28,0
D.birchii,4,28,4
D.birchii,5,28,5
D.birchii,6,28,1
D.birchii,7,28,2
D.birchii,8,28,4
D.birchii,9,28,5
D.birchii,10,28,4
D.birchii,11,28,4
D.birchii,12,28,8
D.birchii,13,28,3
D.birchii,14,28,2
D.birchii,15,28,4
D.birchii,16,28,6
D.birchii,17,28,1
D.birchii,18,28,2
D.birchii,19,28,2
D.birchii,20,28,8
D.birchii,1,26,10
D.birchii,2,26,13
D.birchii,3,26,10
D.birchii,4,26,8
D.birchii,5,26,6
D.birchii,6,26,6
D.birchii,7,26,8
D.birchii,8,26,1
D.birchii,9,26,6
D.birchii,10,26,11
D.birchii,11,26,10
D.birchii,12,26,8
D.birchii,13,26,5
D.birchii,14,26,13
D.birchii,15,26,8
D.birchii,16,26,13
D.birchii,17,26,6
D.birchii,18,26,7
D.birchii,19,26,7
D.birchii,20,26,7
D.birchii,1,23,11
D.birchii,2,23,12
D.birchii,3,23,14
D.birchii,4,23,4
D.birchii,5,23,4
D.birchii,6,23,16
D.birchii,7,23,10
D.birchii,8,23,15
D.birchii,9,23,8
D.birchii,10,23,7
D.birchii,11,23,10
D.birchii,12,23,11
D.birchii,13,23,10
D.birchii,14,23,14
D.birchii,15,23,18
D.birchii,16,23,11
D.birchii,17,23,12
D.birchii,18,23,10
D.birchii,19,23,8
D.birchii,20,23,12
D.birchii,1,20,13
D.birchii,2,20,9
D.birchii,3,20,14
D.birchii,4,20,7
D.birchii,5,20,15
D.birchii,6,20,12
D.birchii,7,20,14
D.birchii,8,20,10
D.birchii,9,20,14
D.birchii,10,20,7
D.birchii,11,20,7
D.birchii,12,20,14
D.birchii,13,20,14
D.birchii,14,20,5
D.birchii,15,20,14
D.birchii,16,20,8
D.birchii,17,20,7
D.birchii,18,20,11
D.birchii,19,20,8
D.birchii,20,20,8
D.bunnanda,1,28,15
D.bunnanda,2,28,9
D.bunnanda,3,28,13
D.bunnanda,4,28,11
D.bunnanda,5,28,14
D.bunnanda,6,28,13
D.bunnanda,7,28,18
D.bunnanda,8,28,15
D.bunnanda,9,28,6
D.bunnanda,10,28,9
D.bunnanda,11,28,14
D.bunnanda,12,28,9
D.bunnanda,13,28,6
D.bunnanda,14,28,12
D.bunnanda,15,28,14
D.bunnanda,16,28,10
D.bunnanda,17,28,10
D.bunnanda,18,28,11
D.bunnanda,19,28,16
D.bunnanda,20,28,10
D.bunnanda,1,26,10
D.bunnanda,2,26,14
D.bunnanda,3,26,14
D.bunnanda,4,26,10
D.bunnanda,5,26,15
D.bunnanda,6,26,17
D.bunnanda,7,26,16
D.bunnanda,8,26,16
D.bunnanda,9,26,17
D.bunnanda,10,26,16
D.bunnanda,11,26,20
D.bunnanda,12,26,12
D.bunnanda,13,26,13
D.bunnanda,14,26,12
D.bunnanda,15,26,16
D.bunnanda,16,26,16
D.bunnanda,17,26,8
D.bunnanda,18,26,15
D.bunnanda,19,26,11
D.bunnanda,20,26,12
D.bunnanda,1,23,17
D.bunnanda,2,23,19
D.bunnanda,3,23,15
D.bunnanda,4,23,17
D.bunnanda,5,23,14
D.bunnanda,6,23,11
D.bunnanda,7,23,16
D.bunnanda,8,23,14
D.bunnanda,9,23,17
D.bunnanda,10,23,15
D.bunnanda,11,23,17
D.bunnanda,12,23,18
D.bunnanda,13,23,17
D.bunnanda,14,23,12
D.bunnanda,15,23,15
D.bunnanda,16,23,18
D.bunnanda,17,23,20
D.bunnanda,18,23,19
D.bunnanda,19,23,15
D.bunnanda,20,23,11
D.bunnanda,1,20,15
D.bunnanda,2,20,18
D.bunnanda,3,20,16
D.bunnanda,4,20,13
D.bunnanda,5,20,14
D.bunnanda,6,20,14
D.bunnanda,7,20,12
D.bunnanda,8,20,16
D.bunnanda,9,20,12
D.bunnanda,10,20,15
D.bunnanda,11,20,16
D.bunnanda,12,20,11
D.bunnanda,13,20,15
D.bunnanda,14,20,18
D.bunnanda,15,20,15
D.bunnanda,16,20,13
D.bunnanda,17,20,20
D.bunnanda,18,20,16
D.bunnanda,19,20,14
D.bunnanda,20,20,15
D.buzzatti,1,20,10
D.buzzatti,2,20,15
D.buzzatti,3,20,17
D.buzzatti,4,20,17
D.buzzatti,5,20,15
D.buzzatti,6,20,18
D.buzzatti,7,20,19
D.buzzatti,8,20,14
D.buzzatti,9,20,15
D.buzzatti,10,20,13
D.buzzatti,11,20,16
D.buzzatti,12,20,18
D.buzzatti,13,20,13
D.buzzatti,14,20,15
D.buzzatti,15,20,7
D.buzzatti,16,20,16
D.buzzatti,17,20,16
D.buzzatti,18,20,18
D.buzzatti,19,20,18
D.buzzatti,20,20,18
D.buzzatti,1,23,17
D.buzzatti,2,23,19
D.buzzatti,3,23,16
D.buzzatti,4,23,19
D.buzzatti,5,23,16
D.buzzatti,6,23,16
D.buzzatti,7,23,20
D.buzzatti,8,23,24
D.buzzatti,9,23,17
D.buzzatti,10,23,13
D.buzzatti,11,23,14
D.buzzatti,12,23,16
D.buzzatti,13,23,15
D.buzzatti,14,23,16
D.buzzatti,15,23,18
D.buzzatti,16,23,19
D.buzzatti,17,23,8
D.buzzatti,18,23,22
D.buzzatti,19,23,16
D.buzzatti,20,23,17
D.buzzatti,1,26,9
D.buzzatti,2,26,12
D.buzzatti,3,26,12
D.buzzatti,4,26,14
D.buzzatti,5,26,16
D.buzzatti,6,26,6
D.buzzatti,7,26,14
D.buzzatti,8,26,9
D.buzzatti,9,26,10
D.buzzatti,10,26,8
D.buzzatti,11,26,11
D.buzzatti,12,26,9
D.buzzatti,13,26,13
D.buzzatti,14,26,12
D.buzzatti,15,26,14
