id,sire,dam,population (1=Innisfail),"temperature (1=lab cold, 2=lab benign, 3=lab hot)",rep,"surv (1=survived to adult stage, 0=did not survive to the adult stage)"
500001,11002,110022,1,1,1100221,1
500002,11002,110022,1,1,1100221,1
500003,11002,110022,1,1,1100221,1
500004,11002,110022,1,1,1100221,1
500005,11002,110022,1,1,1100221,1
500006,11002,110022,1,1,1100221,1
500007,11002,110022,1,1,1100221,0
500008,11002,110022,1,1,1100221,0
500009,11002,110023,1,1,1100231,1
500010,11002,110023,1,1,1100231,1
500011,11002,110023,1,1,1100231,1
500012,11002,110023,1,1,1100231,1
500013,11002,110023,1,1,1100231,1
500014,11002,110023,1,1,1100231,1
500015,11002,110023,1,1,1100231,0
500016,11002,110023,1,1,1100231,0
500017,11002,110024,1,1,1100241,1
500018,11002,110024,1,1,1100241,1
500019,11002,110024,1,1,1100241,1
500020,11002,110024,1,1,1100241,1
500021,11002,110024,1,1,1100241,1
500022,11002,110024,1,1,1100241,1
500023,11002,110024,1,1,1100241,1
500024,11002,110024,1,1,1100241,1
500025,11002,110025,1,1,1100251,1
500026,11002,110025,1,1,1100251,1
500027,11002,110025,1,1,1100251,1
500028,11002,110025,1,1,1100251,1
500029,11002,110025,1,1,1100251,1
500030,11002,110025,1,1,1100251,0
500031,11002,110025,1,1,1100251,0
500032,11002,110025,1,1,1100251,0
500033,11003,110031,1,1,1100311,1
500034,11003,110031,1,1,1100311,0
500035,11003,110031,1,1,1100311,0
500036,11003,110031,1,1,1100311,0
500037,11003,110031,1,1,1100311,0
500038,11003,110031,1,1,1100311,0
500039,11003,110031,1,1,1100311,0
500040,11003,110031,1,1,1100311,0
500041,11003,110032,1,1,1100321,1
500042,11003,110032,1,1,1100321,1
500043,11003,110032,1,1,1100321,1
500044,11003,110032,1,1,1100321,1
500045,11003,110032,1,1,1100321,1
500046,11003,110032,1,1,1100321,1
500047,11003,110032,1,1,1100321,0
500048,11003,110032,1,1,1100321,0
500049,11004,110042,1,1,1100421,1
500050,11004,110042,1,1,1100421,1
500051,11004,110042,1,1,1100421,1
500052,11004,110042,1,1,1100421,1
500053,11004,110042,1,1,1100421,1
500054,11004,110042,1,1,1100421,1
500055,11004,110042,1,1,1100421,1
500056,11004,110042,1,1,1100421,0
500057,11004,110043,1,1,1100431,1
500058,11004,110043,1,1,1100431,1
500059,11004,110043,1,1,1100431,1
500060,11004,110043,1,1,1100431,1
500061,11004,110043,1,1,1100431,1
500062,11004,110043,1,1,1100431,1
500063,11004,110043,1,1,1100431,0
500064,11004,110043,1,1,1100431,0
500065,11004,110045,1,1,1100451,1
500066,11004,110045,1,1,1100451,1
500067,11004,110045,1,1,1100451,1
500068,11004,110045,1,1,1100451,1
500069,11004,110045,1,1,1100451,1
500070,11004,110045,1,1,1100451,1
500071,11004,110045,1,1,1100451,1
500072,11004,110045,1,1,1100451,1
500073,11005,110054,1,1,1100541,1
500074,11005,110054,1,1,1100541,1
500075,11005,110054,1,1,1100541,1
500076,11005,110054,1,1,1100541,1
500077,11005,110054,1,1,1100541,1
500078,11005,110054,1,1,1100541,1
500079,11005,110054,1,1,1100541,0
500080,11005,110054,1,1,1100541,0
500081,11005,110055,1,1,1100551,1
500082,11005,110055,1,1,1100551,0
