pop,line,temp,eggs,prog,,,pop,line,mot.sp,temperature,,,pop,line,v.1fertile,v.2fertile,T combo
Val,val.2,18,29,23,,,upp,upp.12,1,18,,,upp,upp.12,1,1,HH
Val,val.2,18,45,40,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.2,18,49,46,,,upp,upp.12,1,18,,,upp,upp.12,1,1,HH
Val,val.2,18,55,37,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.2,18,38,27,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.2,18,49,37,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.2,18,44,31,,,upp,upp.12,1,18,,,upp,upp.12,1,1,HH
Val,val.2,18,57,54,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.2,18,22,10,,,upp,upp.12,1,18,,,upp,upp.12,0,0,HH
Val,val.3,18,45,45,,,upp,upp.12,1,18,,,upp,upp.22,0,0,HH
Val,val.3,18,42,37,,,upp,upp.12,1,18,,,upp,upp.22,1,1,HH
Val,val.3,18,75,70,,,upp,upp.12,1,23.5,,,upp,upp.22,0,0,HH
Val,val.3,18,33,33,,,upp,upp.12,0,23.5,,,upp,upp.22,0,0,HH
Val,val.3,18,34,7,,,upp,upp.12,1,23.5,,,upp,upp.22,0,0,HH
Val,val.3,18,20,9,,,upp,upp.12,0,23.5,,,upp,upp.51,0,0,HH
Val,val.3,18,59,40,,,upp,upp.12,1,23.5,,,upp,upp.51,0,0,HH
Val,val.3,18,88,76,,,upp,upp.12,1,23.5,,,upp,upp.51,0,0,HH
Val,val.9,18,31,4,,,upp,upp.12,0,23.5,,,upp,upp.51,0,0,HH
Val,val.9,18,71,43,,,upp,upp.12,1,23.5,,,upp,upp.51,0,0,HH
Val,val.9,18,39,15,,,upp,upp.12,1,23.5,,,val,val.13,1,1,HH
Val,val.9,18,61,25,,,upp,upp.12,1,23.5,,,val,val.13,1,1,HH
Val,val.9,18,26,9,,,upp,upp.12,0,23.5,,,val,val.13,1,1,HH
Val,val.9,18,39,32,,,upp,upp.12,0,23.5,,,val,val.13,1,1,HH
Val,val.13,18,40,24,,,upp,upp.12,0,23.5,,,val,val.13,0,0,HH
Val,val.13,18,43,41,,,upp,upp.12,1,23.5,,,val,val.13,1,1,HH
Val,val.13,18,29,19,,,upp,upp.12,0,23.5,,,val,val.13,0,0,HH
Val,val.13,18,52,22,,,upp,upp.12,0,23.5,,,val,val.13,1,1,HH
Val,val.13,18,95,69,,,upp,upp.12,0,23.5,,,val,val.17,0,0,HH
Val,val.13,18,42,33,,,upp,upp.12,0,23.5,,,val,val.17,1,1,HH
Val,val.13,18,49,45,,,upp,upp.12,1,23.5,,,val,val.17,1,1,HH
Val,val.13,18,49,19,,,upp,upp.12,0,23.5,,,val,val.17,0,1,HH
Val,val.13,18,45,27,,,upp,upp.22,1,18,,,val,val.17,1,1,HH
Val,val.17,18,61,12,,,upp,upp.22,1,18,,,val,val.17,0,0,HH
Val,val.17,18,32,23,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,68,61,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,26,18,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,51,33,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,47,25,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,39,36,,,upp,upp.22,1,18,,,val,val.2,1,1,HH
Val,val.17,18,61,16,,,upp,upp.22,1,18,,,val,val.27,0,1,HH
Val,val.17,18,55,42,,,upp,upp.22,1,18,,,val,val.27,1,0,HH
Val,val.25,18,54,23,,,upp,upp.22,1,23.5,,,val,val.27,0,0,HH
Val,val.25,18,28,12,,,upp,upp.22,0,23.5,,,val,val.27,0,0,HH
Val,val.25,18,68,22,,,upp,upp.22,1,23.5,,,val,val.3,1,1,HH
Val,val.25,18,46,41,,,upp,upp.22,0,23.5,,,val,val.3,0,0,HH
Val,val.25,18,79,33,,,upp,upp.22,1,23.5,,,val,val.3,0,1,HH
Val,val.25,18,63,47,,,upp,upp.22,1,23.5,,,val,val.35,1,1,HH
Val,val.25,18,56,48,,,upp,upp.22,1,23.5,,,val,val.35,1,1,HH
Val,val.25,18,38,25,,,upp,upp.22,1,23.5,,,val,val.35,1,1,HH
Val,val.25,18,46,37,,,upp,upp.22,1,23.5,,,val,val.35,1,1,HH
Val,val.25,18,96,54,,,upp,upp.22,0,23.5,,,val,val.42,1,1,HH
Val,val.27,18,39,20,,,upp,upp.22,1,23.5,,,val,val.42,0,0,HH
Val,val.27,18,59,50,,,upp,upp.22,0,23.5,,,val,val.42,1,1,HH
Val,val.27,18,56,24,,,upp,upp.22,0,23.5,,,val,val.42,1,1,HH
Val,val.27,18,27,22,,,upp,upp.22,1,23.5,,,val,val.42,0,0,HH
Val,val.27,18,41,33,,,upp,upp.22,1,23.5,,,val,val.43,0,0,HH
Val,val.27,18,20,18,,,upp,upp.22,1,23.5,,,val,val.43,1,1,HH
Val,val.27,18,34,34,,,upp,upp.22,0,23.5,,,val,val.43,1,1,HH
Val,val.27,18,35,35,,,upp,upp.22,0,23.5,,,val,val.50,0,0,HH
Val,val.27,18,69,44,,,upp,upp.22,1,23.5,,,val,val.50,1,1,HH
Val,val.35,18,35,1,,,upp,upp.22,0,23.5,,,val,val.50,0,0,HH
Val,val.35,18,42,38,,,upp,upp.34,1,18,,,val,val.9,0,0,HH
Val,val.35,18,61,42,,,upp,upp.34,1,18,,,val,val.9,1,1,HH
Val,val.35,18,44,43,,,upp,upp.34,1,18,,,val,val.9,1,1,HH
