temp	cross	proportion_alive
15	yakyak	0.46
15	yakyak	0.44
15	yakyak	0.38
15	yakyak	0.42
15	yakyak	0.34
15	yakyak	0.4
15	yakyak	0.5
15	yakyak	0.24
15	yakyak	0.52
15	yakyak	0.48
18	yakyak	0.6
18	yakyak	0.5
18	yakyak	0.68
18	yakyak	0.26
18	yakyak	0.5
18	yakyak	0.76
18	yakyak	0.42
18	yakyak	0.64
18	yakyak	0.68
18	yakyak	0.58
21	yakyak	0.68
21	yakyak	0.58
21	yakyak	0.84
21	yakyak	0.78
21	yakyak	0.46
21	yakyak	0.7
21	yakyak	0.8
21	yakyak	0.78
21	yakyak	0.64
21	yakyak	0.54
24	yakyak	0.62
24	yakyak	0.64
24	yakyak	0.66
24	yakyak	0.84
24	yakyak	0.72
24	yakyak	0.7
24	yakyak	0.86
24	yakyak	0.78
24	yakyak	0.78
24	yakyak	0.84
26	yakyak	0.62
26	yakyak	0.76
26	yakyak	0.76
26	yakyak	0.88
26	yakyak	0.66
26	yakyak	0.64
26	yakyak	0.72
26	yakyak	0.66
26	yakyak	0.58
26	yakyak	0.72
28	yakyak	0.6
28	yakyak	0.58
28	yakyak	0.44
28	yakyak	0.38
28	yakyak	0.62
28	yakyak	0.5
28	yakyak	0.48
28	yakyak	0.32
28	yakyak	0.58
28	yakyak	0.58
15	teitei	0.48
15	teitei	0.52
15	teitei	0.62
15	teitei	0.78
15	teitei	0.5
15	teitei	0.66
15	teitei	0.58
15	teitei	0.62
15	teitei	0.8
15	teitei	0.56
18	teitei	0.5
18	teitei	0.58
18	teitei	0.82
18	teitei	0.68
18	teitei	0.66
18	teitei	0.56
18	teitei	0.58
18	teitei	0.6
18	teitei	0.5
18	teitei	0.52
21	teitei	0.82
21	teitei	0.82
21	teitei	0.58
21	teitei	0.86
21	teitei	0.56
21	teitei	0.78
21	teitei	0.68
21	teitei	0.94
21	teitei	0.62
21	teitei	0.52
24	teitei	0.82
24	teitei	0.7
24	teitei	0.8
24	teitei	0.64
24	teitei	0.44
24	teitei	0.72
24	teitei	0.8
24	teitei	0.84
24	teitei	0.82
24	teitei	0.84
26	teitei	0.58
26	teitei	0.48
26	teitei	0.52
26	teitei	0.58
26	teitei	0.62
26	teitei	0.5
26	teitei	0.42
26	teitei	0.62
26	teitei	0.9
26	teitei	0.5
28	teitei	0.26
28	teitei	0.32
28	teitei	0.18
28	teitei	0.58
28	teitei	0.46
28	teitei	0.2
28	teitei	0.32
28	teitei	0.62
28	teitei	0.22
28	teitei	0.34
15	teiyak	0.48
15	teiyak	0.46
15	teiyak	0.5
15	teiyak	0.62
15	teiyak	0.56
15	teiyak	0.5
15	teiyak	0.38
15	teiyak	0.62
15	teiyak	0.66
15	teiyak	0.38
18	teiyak	0.58
18	teiyak	0.84
18	teiyak	0.88
18	teiyak	0.62
18	teiyak	0.78
18	teiyak	0.46
18	teiyak	0.04
18	teiyak	0.82
18	teiyak	0.56
18	teiyak	0.44
21	teiyak	0.62
21	teiyak	0.58
21	teiyak	0.62
21	teiyak	0.38
21	teiyak	0.44
21	teiyak	0.62
21	teiyak	0.58
21	teiyak	0.54
21	teiyak	0.48
21	teiyak	0.54
24	teiyak	0.62
24	teiyak	0.56
24	teiyak	0.44
24	teiyak	0.48
24	teiyak	0.54
24	teiyak	0.62
24	teiyak	0.58
24	teiyak	0.68
24	teiyak	0.66
24	teiyak	0.64
26	teiyak	0.6
26	teiyak	0.78
26	teiyak	0.5
26	teiyak	0.38
26	teiyak	0.42
26	teiyak	0.24
26	teiyak	0.56
26	teiyak	0.36
26	teiyak	0.44
26	teiyak	0.56
28	teiyak	0.5
28	teiyak	0.38
28	teiyak	0.6
28	teiyak	0.44
28	teiyak	0.16
28	teiyak	0.26
28	teiyak	0.22
28	teiyak	0.3
28	teiyak	0.5
28	teiyak	0.2
15	yaktei	0.38
15	yaktei	0.46
15	yaktei	0.82
15	yaktei	0.48
15	yaktei	0.44
15	yaktei	0.38
15	yaktei	0.44
15	yaktei	0.62
15	yaktei	0.5
15	yaktei	0.48
18	yaktei	0.62
18	yaktei	0.5
18	yaktei	0.48
18	yaktei	0.46
18	yaktei	0.36
18	yaktei	0.72
18	yaktei	0.84
18	yaktei	0.86
18	yaktei	0.64
18	yaktei	0.82
21	yaktei	0.48
21	yaktei	0.7
21	yaktei	0.62
21	yaktei	0.54
21	yaktei	0.44
21	yaktei	0.64
21	yaktei	0.5
21	yaktei	0.46
21	yaktei	0.56
21	yaktei	0.64
24	yaktei	0.46
24	yaktei	0.46
24	yaktei	0.62
24	yaktei	0.52
24	yaktei	0.66
24	yaktei	0.44
24	yaktei	0.48
24	yaktei	0.76
24	yaktei	0.9
24	yaktei	0.74
26	yaktei	0.5
26	yaktei	0.62
26	yaktei	0.64
26	yaktei	0.62
26	yaktei	0.5
26	yaktei	0.5
26	yaktei	0.48
26	yaktei	0.68
26	yaktei	0.6
26	yaktei	0.58
28	yaktei	0.64
28	yaktei	0.38
28	yaktei	0.5
28	yaktei	0.44
28	yaktei	0.62
28	yaktei	0.54
28	yaktei	0.5
28	yaktei	0.34
28	yaktei	0.46
28	yaktei	0.44
