Temp,ratio,Conc,Carb,Protein,pop,replicate,block,total_eggs,total_pupae,pupal_survival,total_adults,adults_survival,,ratio,ratio
18,1.5,0.5,16.619998,22.07499975,Townsville,1,1,20,18,2,15,5,,1.5,3:02
18,0.125,8,567.59872,69.99984,Townsville,1,1,20,12,8,18,2,,0.13,1:08
18,0.66,0.5,23.72494,15.3749925,Townsville,1,1,20,20,0,19,1,,0.66,2:03
18,0.33,4,236.79936,79.99992,Townsville,1,1,20,20,0,20,0,,0.33,1:03
18,0.66,1,47.44988,30.749985,Townsville,1,1,20,17,3,13,7,,0.66,2:03
18,0.125,4,283.79936,34.99992,Townsville,1,1,20,20,0,17,3,,0.13,1:08
18,0.125,1,70.94984,8.74998,Townsville,1,1,20,17,3,17,3,,0.13,1:08
18,1.5,2,66.479992,88.299999,Townsville,1,1,20,14,6,13,7,,1.5,3:02
18,0.66,8,379.59904,245.99988,Townsville,1,1,20,5,15,16,4,,0.66,2:03
18,0.25,2,126.4796,30.19995,Townsville,1,1,20,20,0,17,3,,0.25,1:04
18,0.25,4,252.9592,60.3999,Townsville,1,1,20,16,4,16,4,,0.25,1:04
18,0.33,8,473.59872,159.99984,Townsville,1,1,20,1,19,15,5,,0.33,1:03
18,0.25,0.5,31.6199,7.5499875,Townsville,1,1,20,17,3,13,7,,0.25,1:04
18,0.25,8,505.9184,120.7998,Townsville,1,1,20,15,5,19,1,,0.25,1:04
18,0.33,0.5,29.59992,9.99999,Townsville,1,1,20,17,3,17,3,,0.33,1:03
18,0.33,1,59.19984,19.99998,Townsville,1,1,20,19,1,18,2,,0.33,1:03
18,0.125,2,141.89968,17.49996,Townsville,1,1,20,20,0,19,1,,0.13,1:08
18,0.33,2,118.39968,39.99996,Townsville,1,1,20,20,0,20,0,,0.33,1:03
18,0.125,0.5,35.47492,4.37499,Townsville,1,1,20,17,3,16,4,,0.13,1:08
18,1.5,1,33.239996,44.1499995,Townsville,1,1,20,20,0,14,6,,1.5,3:02
18,1.5,4,132.959984,176.599998,Townsville,1,1,20,11,9,8,12,,1.5,3:02
18,0.66,4,189.79952,122.99994,Townsville,1,1,20,19,1,19,1,,0.66,2:03
18,0.66,2,94.89976,61.49997,Townsville,1,1,20,20,0,19,1,,0.66,2:03
18,1.5,8,265.919968,353.199996,Townsville,1,1,20,6,14,19,1,,1.5,3:02
18,0.25,1,63.2398,15.099975,Townsville,1,1,20,17,3,15,5,,0.25,1:04
18,0.125,8,567.59872,69.99984,Melbourne,1,1,20,6,14,14,6,,0.13,1:08
18,0.66,4,189.79952,122.99994,Melbourne,1,1,20,17,3,17,3,,0.66,2:03
18,0.33,4,236.79936,79.99992,Melbourne,1,1,20,15,5,17,3,,0.33,1:03
18,0.66,0.5,23.72494,15.3749925,Melbourne,1,1,20,20,0,18,2,,0.66,2:03
18,1.5,0.5,16.619998,22.07499975,Melbourne,1,1,20,18,2,16,4,,1.5,3:02
